From	To
P22234	PAICS
Q6QHF9	PAOX
Q86WK9	PAQR7
Q8TEZ7	PAQR8
Q8IY49	MMD2
Q9NR21	PARP11
Q86TB9	PATL1
Q2NL67	PARP6
O00254	F2RL2
Q96QU1	PCDH15
Q9UN66	PCDHB8
Q96JQ0	DCHS1
O14917	PCDH17
Q9HCL0	PCDH18
Q9Y5G0	PCDHGB5
Q9Y5F8	PCDHGB7
Q9Y5I4	PCDHAC2
Q9Y5F6	PCDHGC5
Q9Y5H4	PCDHGA1
Q9Y5G5	PCDHGA8
O94913	PCF11
P35227	PCGF2
Q7Z2X4	PID1
P42785	PRCP
Q16549	PCSK7
Q9UHG2	PCSK1N
Q6UW60	PCSK4
P29122	PCSK6
Q9Y5K3	PCYT1B
Q9H6A9	PCNX3
Q63HM2	PCNX4
Q9BRP1	PDCD2L
Q15116	PDCD1
Q16342	PDCD2
P30520	ADSS
P27815	PDE4A
P35913	PDE6B
P51160	PDE6C
Q8N165	PDIK1L
Q15118	PDK1
Q53GG5	PDLIM3
Q15120	PDK3
O15530	PDPK1
Q9NR12	PDLIM7
O00151	PDLIM1
Q8NCN5	PDPR
Q9P0J1	PDP1
Q6P996	PDXDC1
Q8WV22	NSMCE1
Q5PT55	SLC10A5
Q9UNZ2	NSFL1C
Q63ZY6	NSUN5P2
Q9Y5A7	NUB1
Q9BW27	NUP85
Q99567	NUP88
Q9ULJ1	ODF2L
Q5BJF6	ODF2
P11182	DBT
P22059	OSBP
Q9BXB4	OSBPL11
Q9NX31	OSER1
Q9H1P3	OSBPL2
Q9H4L5	OSBPL3
Q12923	PTPN13
Q15678	PTPN14
Q9BZF2	OSBPL7
Q9BZF1	OSBPL8
P18031	PTPN1
Q9Y2R2	PTPN22
Q9H3S7	PTPN23
P17706	PTPN2
P26045	PTPN3
Q86UW1	SLC51A
Q86UW2	SLC51B
P29350	PTPN6
A2A3K4	PTPDC1
Q92932	PTPRN2
P18433	PTPRA
P23467	PTPRB
P08575	PTPRC
P10586	PTPRF
Q9HD43	PTPRH
P28827	PTPRM
Q7RTM1	OTOP1
Q8NHW6	OTOS
Q92729	PTPRU
Q8TE49	OTUD7A
P83859	QRFP
P41217	CD200
Q96RQ9	IL4I1
Q8TDS5	OXER1
Q8IYS1	PM20D2
P53801	PTTG1IP
O00398	P2RY10
Q969Q6	PPP2R3C
Q15391	P2RY14
O00443	PIK3C2A
Q96A73	KIAA1191
P13674	P4HA1
Q7Z4N8	P4HA3
P04637	TP53
Q9UHX1	PUF60
Q06416	POU5F1B
O14683	TP53I11
Q14671	PUM1
P32322	PYCR1
P68402	PAFAH1B2
Q15102	PAFAH1B3
P47712	PLA2G4A
Q9UP65	PLA2G4C
Q9NZK7	PLA2G2E
Q9BZM2	PLA2G2F
O15496	PLA2G10
P0CB38	PABPC4L
Q9BXP8	PAPPA2
O95340	PAPSS2
Q86W56	PARG
P15863	PAX1
Q15546	MMD
Q53GL7	PARP10
Q02962	PAX2
Q9BUH6	PAXX
Q96RI0	F2RL3
Q9NPB6	PARD6A
P26367	PAX6
Q6UWI2	PARM1
A6NGG8	PCARE
O60330	PCDHGA12
P05166	PCCB
Q9UN70	PCDHGC3
Q9Y5H9	PCDHA2
O95206	PCDH8
Q9Y5G8	PCDHGA5
Q96NT5	SLC46A1
Q9Y5G4	PCDHGA9
Q9Y5H6	PCDHA8
Q9Y5H5	PCDHA9
Q9BSM1	PCGF1
Q9BYE7	PCGF6
Q15645	TRIP13
Q9Y6V0	PCLO
P12004	PCNA
P48539	PCP4
Q15113	PCOLCE
Q58A44	PCOTH
Q92824	PCSK5
P49585	PCYT1A
Q96RV3	PCNX1
Q99447	PCYT2
Q9BUL8	PDCD10
Q9Y233	PDE10A
Q8N8D1	PDCD7
Q14123	PDE1C
O00408	PDE2A
Q14432	PDE3A
Q13946	PDE7A
Q9NP56	PDE7B
Q96L73	NSD1
Q14973	SLC10A1
Q9BW91	NUDT9
P60900	PSMA6
Q6IF63	OR52W1
Q9BZK8	OCR1
Q01968	OCRL
P12694	BCKDHA
Q9BR26	OCSTAMP
Q13438	OS9
Q96SU4	OSBPL9
P20962	PTMS
Q8IYS5	OSCAR
Q9BXW6	OSBPL1A
Q9UJX0	OSGIN1
Q9Y236	OSGIN2
Q99952	PTPN18
Q99650	OSMR
Q16825	PTPN21
Q8TAX0	OSR1
Q8N2R0	OSR2
P0C6T2	OST4
P29074	PTPN4
P54829	PTPN5
P35236	PTPN7
P43378	PTPN9
P02818	BGLAP
Q9NRP0	OSTC
Q92882	OSTF1
Q86WC4	OSTM1
P10451	SPP1
Q15257	PTPA
P23470	PTPRG
Q12913	PTPRJ
Q9HC10	OTOF
Q15256	PTPRR
Q13332	PTPRS
Q9NRC9	OTOR
Q5XKR4	OTP
Q7L8S5	OTUD6A
P23471	PTPRZ1
Q8N6M0	OTUD6B
Q03393	PTS
Q96FW1	OTUB1
O43613	HCRTR1
Q5T2D3	OTUD3
Q01804	OTUD4
O00110	OVOL3
Q9NUU6	OTULINL
Q96BN8	OTULIN
P32242	OTX1
P30559	OXTR
Q3SYA9	POM121L1P
Q96KW2	POM121L2
Q6GTS8	PM20D1
P48651	PTDSS1
A8MW92	PHF20L1
E9PI22	PRR23D1
P0DMB1	PRR23D2
O95997	PTTG1
Q6ZSK4	NTM-AS1
Q9Y5Y2	NUBP2
Q9H093	NUAK2
Q9BQG2	NUDT12
Q9UHK0	NUFIP1
P0C024	NUDT7
Q9Y6R0	NUMBL
A8MXV4	NUDT19
P28066	PSMA5
Q9BVL2	NUP58
Q8N1F7	NUP93
P52948	NUP98
Q8NH57	OR52P1P
Q8NGF1	OR52R1
P0C646	OR52Z1
Q8NGH5	OR56A1
Q8NH54	OR56A3
Q8NGH8	OR56A4
P0C7T3	OR56A5
Q8NGI3	OR56B1
Q8NGI1	OR56B2P
Q8NH76	OR56B4
P0C628	OR5AC1
Q9NZP5	OR5AC2
Q8NH90	OR5AK2
Q8NH89	OR5AK3P
P0C617	OR5AL1
Q8NGI8	OR5AN1
Q8NGF4	OR5AP2
Q8NGP9	OR5AR1
Q8N127	OR5AS1
Q8NGC0	OR5AU1
A6NHG9	OR5H14
A6NDH6	OR5H15
A6NJZ3	OR6C65
A6NDL8	OR6C68
A6NIJ9	OR6C70
A6NCV1	OR6C74
A6NL08	OR6C75
A6NM76	OR6C76
Q6IFN5	OR7E24
Q6IF36	OR8G2P
Q9UKG9	CROT
A8MYP8	ODF3B
Q14990	ODF1
P04001	OPN1MW
P04000	OPN1LW
O14718	RRH
O75127	PTCD1
Q9UBD5	ORC3
Q96EY7	PTCD3
Q6ISU1	PTCRA
Q9Y5N6	ORC6
P60484	PTEN
Q96BW5	PTER
Q7RTS3	PTF1A
O43612	HCRT
Q06124	PTPN11
Q9H0X9	OSBPL5
Q7Z3E1	TIPARP
Q8IV76	PASD1
Q9BYU1	PBX4
Q9BZA7	PCDH11X
Q9BZA8	PCDH11Y
Q9P2E7	PCDH10
Q9NPG4	PCDH12
P57723	PCBP4
P40424	PBX1
P05165	PCCA
Q8TAB3	PCDH19
Q9Y5G1	PCDHGB3
Q9UN71	PCDHGB4
Q9Y5F9	PCDHGB6
Q9H158	PCDHAC1
Q9Y5H7	PCDHA5
Q9HC56	PCDH9
Q9UN72	PCDHA7
Q9Y5I0	PCDHA13
Q3KNV8	PCGF3
P35558	PCK1
Q9NV79	PCMTD2
Q8WW12	PCNP
Q8IVA1	PCP2
Q8NBM8	PCYOX1L
Q9BQ51	PDCD1LG2
Q9Y5Y4	PTGDR2
Q53EL6	PDCD4
Q9HCR9	PDE11A
O14737	PDCD5
O75340	PDCD6
Q01064	PDE1B
Q8N4E4	PDCL2
Q08493	PDE4C
Q08499	PDE4D
Q13370	PDE3B
O60658	PDE8A
O95263	PDE8B
Q9GZP0	PDGFD
O43924	PDE6D
P04085	PDGFA
Q9BY77	POLDIP3
P30101	PDIA3
P01127	PDGFB
Q15119	PDK2
P50479	PDLIM4
Q96HC4	PDLIM5
Q6A1A2	PDPK2P
Q86YL7	PDPN
O00764	PDXK
P01213	PDYN
P0DJD7	PGA4
Q2TAK8	PWWP3A
P20142	PGC
Q8IXQ6	PARP9
Q9GZY1	PBOV1
Q96AQ6	PBXIP1
P30039	PBLD
P57721	PCBP3
Q9Y5E4	PCDHB5
Q9Y5E3	PCDHB6
Q9Y5F1	PCDHB12
Q9Y5H2	PCDHGA11
Q8N6Y1	PCDH20
Q96TA0	PCDHB18P
Q6V1P9	DCHS2
Q9UN74	PCDHA4
Q9UN73	PCDHA6
Q9Y5G6	PCDHGA7
Q9Y5H3	PCDHGA10
Q9UKZ9	PCOLCE2
Q8NBP7	PCSK9
A6NKB5	PCNX2
Q9UHG3	PCYOX1
Q9NZQ7	CD274
Q13258	PTGDR
Q8WUM4	PDCD6IP
Q6L8Q7	PDE12
P54750	PDE1A
Q8N142	ADSSL1
Q9H2J4	PDCL3
Q07343	PDE4B
O76074	PDE5A
P16499	PDE6A
Q8N807	PDILT
P07237	P4HB
Q96JY6	PDLIM2
Q15084	PDIA6
Q8WWR9	PPDPFL
Q9P2J9	PDP2
Q9NUG6	PDRG1
P52945	PDX1
Q6P474	PDXDC2P
Q5EBL8	PDZD11
O15018	PDZD2
Q9NXE4	SMPD4
Q9BZ95	NSD3
Q9HDB5	NRXN3
Q14980	NUMA1
P25787	PSMA2
P25788	PSMA3
P25789	PSMA4
Q8NFH5	NUP35
Q8NFH4	NUP37
Q8NFH3	NUP43
Q2M2E3	ODF4
P21953	BCKDHB
Q9BQT8	SLC25A21
A1E959	ODAM
Q96PU9	ODF3
Q17RF5	ODAPH
Q8IV42	PSTK
Q8IYL9	GPR65
P0DJ07	PET100
Q6UWS5	PET117
P25105	PTAFR
Q7Z6K3	PTAR1
P0DN78	OPN1MW3
P26599	PTBP1
Q9UKA9	PTBP2
O95758	PTBP3
Q13635	PTCH1
Q8TAF5	FLVCR1-AS1
Q53EV4	LRRC23
Q9Y546	LRRC42
Q2VPJ9	LRRC75B
Q8TDW0	LRRC8C
Q96JA1	LRIG1
Q96NI6	LRFN5
Q9BX40	LSM14B
Q9Y333	LSM2
Q9UFC0	LRWD1
O75197	LRP5
Q9Y4Y9	LSM5
O00453	LST1
Q8IV03	LURAP1L
P01717	IGLV3-25
A0A075B6I9	IGLV7-46
Q14767	LTBP2
Q9Y250	LZTS1
Q9Y5Y7	LYVE1
O75951	LYZL6
Q9BXT6	MOV10L1
Q13508	ART3
Q8N8E1	MAPKAPK5-AS1
P51970	NDUFA8
P33908	MAN1A1
Q9BQ69	MACROD1
O75444	MAF
O15479	MAGEB2
Q8NHW3	MAFA
P13349	MYF5
Q9UKN7	MYO15A
Q9Y623	MYH4
P13533	MYH6
Q8NEV4	MYO3A
Q8WXR4	MYO3B
B2RTY4	MYO9A
P02144	MB
O15069	NACAD
Q5VZE5	NAA35
Q9GZZ1	NAA50
Q93015	NAA80
Q86TC9	MYPN
O60237	PPP1R12B
Q6IA69	NADSYN1
Q5VWK0	NBPF6
P0C2Y1	NBPF7
Q86T75	NBPF11
Q8N660	NBPF15
P19878	NCF2
Q9UBB6	NCDN
P16435	POR
P20929	NEB
P56181	NDUFV3
O60890	OPHN1
O14841	OPLAH
Q9H1Y3	OPN3
P41146	OPRL1
P08100	RHO
Q9UBM4	OPTC
P34982	OR1D2
P58170	OR1D5
P30953	OR1E1
P47887	OR1E2
Q8WZA6	OR1E3
O43749	OR1F1
Q96R84	OR1F2P
Q8NH94	OR1L1
Q8NGR5	OR1L4
Q8NGR2	OR1L6
Q8NGS0	OR1N1
Q8NGR9	OR1N2
Q6IF42	OR2A2
Q96R48	OR2A5
Q9GZK3	OR2B2
P59922	OR2B8P
Q5JQS5	OR2B11
O95371	OR2C1
Q8N628	OR2C3
Q9H210	OR2D2
Q8NGH3	OR2D3
O95006	OR2F2
Q8NGZ4	OR2G3
Q9GZK4	OR2H1
Q8NGU4	OR2I1P
O76002	OR2J2
Q8NGT1	OR2K2
Q8NH16	OR2L2
Q8NG80	OR2L5
Q8NGY9	OR2L8
Q96R28	OR2M2
Q96R27	OR2M4
Q8NG81	OR2M7
Q9NQN1	OR2S2
O43869	OR2T1
Q8NH00	OR2T4
Q8NHC8	OR2T6
P0C7T2	OR2T7
A6NFC9	OR2W5
Q8NHA6	OR2W6P
P47883	OR3A4P
Q8NGN8	OR4A4P
Q8NH37	OR4C3
Q8NGB2	OR4C5
Q6IEV9	OR4C11
Q96R67	OR4C12
Q15615	OR4D1
Q8NGJ1	OR4D6
Q8NGE8	OR4D9
Q8NGB9	OR4F6
Q8NGD2	OR4K2
Q8NH41	OR4K15
Q8NH43	OR4L1
Q8NGB6	OR4M2
Q8N0Y3	OR4N4
Q8IXE1	OR4N5
Q8NH73	OR4S2
Q8NGJ0	OR5A1
Q8NH48	OR5B3
Q96R08	OR5B12
Q8NGL3	OR5D14
Q8NGL1	OR5D18
P0C626	OR5G3
Q8NGV7	OR5H2
Q13606	OR5I1
A6NET4	OR5K3
A6NMS3	OR5K4
Q8NGP4	OR5M3
Q8NGP6	OR5M8
Q96RB7	OR5M11
Q8WZ94	OR5P3
Q8NH85	OR5R1
Q8NG75	OR5T1
Q8NGG3	OR5T3
O95007	OR6B1
Q6IFH4	OR6B2
Q9NZP2	OR6C2
Q8NGE1	OR6C4
Q8NGC5	OR6J1
Q8NGY3	OR6K3
Q8NGY5	OR6N1
Q8NGQ2	OR6Q1
Q8NH79	OR6X1
Q15622	OR7A5
O14581	OR7A17
Q96RA2	OR7D2
Q8NGA0	OR7G1
Q8NG95	OR7G3
P0DMU2	OR8G3P
Q15617	OR8G1
Q8NGP2	OR8J1
Q8NGE7	OR9K2
Q8NGQ5	OR9Q1
Q8NGE9	OR9Q2
Q9BRQ5	ORAI3
Q9H999	PANK3
Q9NVE7	PANK4
Q7Z3H0	ANKRD33
Q96QZ0	PANX3
Q9NRJ5	PAPOLB
O15146	MUSK
Q14764	MVP
P04198	MYCN
A0A1B0GUC4	MYOCOS
Q9Y6X6	MYO16
Q86YV6	MYLK4
Q5VTT5	MYOM3
Q5VU43	PDE4DIP
Q9H1M0	NUP62CL
Q6NSJ0	MYORG
Q12965	MYO1E
Q9ULV0	MYO5B
E9PAV3	NACA
Q5TBK1	N4BP2L1
Q9Y483	MTF2
P49914	MTHFS
Q8NCE2	MTMR14
Q6P444	MTFR2
Q9BV20	MRI1
P29803	PDHA2
Q96GX9	APIP
P0DN77	OPN1MW2
Q96CV9	OPTN
Q9P1Q5	OR1A1
Q9Y585	OR1A2
P47884	OR1D4
Q8NHA8	OR1F12
P47890	OR1G1
O60431	OR1I1
Q8NGS3	OR1J1
Q8NGS2	OR1J2
Q8NGR3	OR1K1
Q8NGR8	OR1L8
O95047	OR2A4
Q96R45	OR2A7
Q8N349	OR2L13
A3KFT3	OR2M5
Q9Y3N9	OR2W1
Q7Z3T1	OR2W3
Q8NG97	OR2Z1
P47881	OR3A1
P47893	OR3A2
Q8NGI4	OR4D11
Q8NH21	OR4F5
Q8NH42	OR4K13
Q8NGD0	OR4M1
Q8NGL7	OR4P4
Q8NH49	OR4X1
Q8NGF9	OR4X2
Q8NGI9	OR5A2
Q96R09	OR5B2
Q8NGF7	OR5B17
A6NL26	OR5B21
Q8NGR4	OR5C1
Q8NGL4	OR5D13
Q8NGK9	OR5D16
Q8NHB8	OR5K2
Q9UGF6	OR5V1
Q8NH69	OR5W2
O95222	OR6A2
Q8NGW1	OR6B3
Q9NZP0	OR6C3
Q8NGZ6	OR6F1
Q8NGW6	OR6K6
Q8NGM8	OR6M1
Q8NH40	OR6S1
Q8N148	OR6V1
O60412	OR7C2
Q8NG98	OR7D4
Q96RD0	OR8B2
Q96RC9	OR8B4
Q15620	OR8B8
Q8WZ84	OR8D1
Q9GZM6	OR8D2
Q8NGG1	OR8J2
Q8NH51	OR8K3
Q8NH09	OR8S1
Q8NH10	OR8U1
P0C7N5	OR8U9
Q8NGU2	OR9A4
Q8NGQ1	OR9G4
P0C7N8	OR9G9
Q8NGQ6	OR9I1
Q96SN7	ORAI2
Q13415	ORC1
Q9Y619	SLC25A15
Q5QFB9	PAPPA-AS1
Q9UIF7	MUTYH
P20592	MX2
P20591	MX1
Q9H903	MTHFD2L
Q13615	MTMR3
Q96EF0	MTMR8
Q96QG7	MTMR9
Q9NXD2	MTMR10
A4FU01	MTMR11
P11177	PDHB
O00330	PDHX
Q8IZS5	OFCC1
O75665	OFD1
P55157	MTTP
P48039	MTNR1A
P42285	MTREX
Q765P7	MTSS1L
Q9ULD2	MTUS1
O75431	MTX2
Q9ULD0	OGDHL
Q8N543	OGFOD1
Q9NZT2	OGFR
Q9UKN1	MUC12
Q9H3R2	MUC13
Q5TC84	OGFRL1
Q8WXI7	MUC16
Q685J3	MUC17
P43121	MCAM
Q7Z5P9	MUC19
P15941	MUC1
Q5SSG8	MUC21
E2RYF6	MUC22
Q02817	MUC2
Q99102	MUC4
P98088	MUC5AC
Q8TAX7	MUC7
Q9ULC0	EMCN
Q96DR8	MUCL1
Q3MIW9	MUCL3
Q8WWZ8	OIT3
P13725	OSM
O95948	ONECUT2
O60422	ONECUT3
Q86WS3	OOSP2
Q9H6K4	OPA3
Q96PE5	OPALIN
Q14982	OPCML
A6NF83	NUPR2
Q9Y6X9	MORC2
Q13724	MOGS
Q6UWF7	NXPE4
P00540	MOS
P26038	MSN
Q2M385	MPEG1
Q8NH19	OR10AG1
P46734	MAP2K3
Q9Y4A9	OR10H1
O60404	OR10H3
Q5JRS4	OR10J3
P0C629	OR10J4
Q8NHC4	OR10J5
Q9Y530	OARD1
O43196	MSH5
Q01726	MC1R
Q96DH6	MSI2
Q96KJ4	MSLNL
Q8IXL7	MSRB3
P04733	MT1F
Q8WXB1	METTL21A
Q9NX40	OCIAD1
Q5VZV1	METTL21C
P11137	MAP2
Q96DY7	MTBP
Q15390	MTFR1
Q5XG87	TENT4A
P51003	PAPOLA
Q6UY27	PATE2
Q8N699	MYCT1
Q9UKX3	MYH13
Q9Y2K3	MYH15
Q9HD67	MYO10
Q9NZM1	MYOF
Q14149	MORC3
Q3SYC2	MOGAT2
Q8NHV5	MOSMO
Q6NXP6	NOXRED1
A0A0C5B5G6	MT-RNR1
Q8NDC4	MORN4
Q6DT37	CDC42BPG
Q86SM5	MRGPRG
Q92887	ABCC2
Q96LB0	MRGPRX3
Q96LA9	MRGPRX4
P35372	OPRM1
Q8NGR6	OR1B1
Q15619	OR1C1
Q8NGS1	OR1J4
Q8NH93	OR1L3
Q8NGA1	OR1M1
Q8NH06	OR1P1
Q15612	OR1Q1
Q8NH92	OR1S1
Q8NGQ3	OR1S2
Q8NGT9	OR2A1
Q8NGT9	OR2A42
O76000	OR2B3
P58173	OR2B6
Q13607	OR2F1
Q8NGZ5	OR2G2
Q5TZ20	OR2G6
O95918	OR2H2
Q9GZK6	OR2J1
O76001	OR2J3
Q8NG85	OR2L3
Q8NG83	OR2M3
Q6IF00	OR2T2
Q8NH03	OR2T3
Q6IEZ7	OR2T5
A6NH00	OR2T8
Q8NHB1	OR2V1
Q96R30	OR2V2
Q8NGV0	OR2Y1
P47888	OR3A3
Q8NH83	OR4A5
P0C604	OR4A8
Q8NGF8	OR4B1
Q8NH72	OR4C6
Q8NGP0	OR4C13
Q8NGM1	OR4C15
Q8NGL9	OR4C16
P58180	OR4D2
Q8NGN0	OR4D5
Q8NGI6	OR4D10
P0C645	OR4E1
Q8NGC2	OR4E2
Q6IEY1	OR4F16
Q6IEY1	OR4F29
Q6IEY1	OR4F3
Q96R69	OR4F4
Q8NGD4	OR4K1
Q96R72	OR4K3
Q8NGD3	OR4K5
Q8NGD5	OR4K14
Q8NGC6	OR4K17
Q8NGD1	OR4N2
P0C623	OR4Q2
Q8NH05	OR4Q3
Q8NGB4	OR4S1
O95221	OR5F1
A6NKK0	OR5H1
Q8NGV6	OR5H6
P0DN80	OR5H8
Q8NH18	OR5J2
Q8NHB7	OR5K1
Q8NGL2	OR5L1
Q8NGL0	OR5L2
Q8NGP8	OR5M1
Q8NGP3	OR5M9
Q6IEU7	OR5M10
Q8WZ92	OR5P2
Q8NGG2	OR5T2
Q96RD1	OR6C1
A6NF89	OR6C6
Q8NGY2	OR6K2
Q8NGY6	OR6N2
Q8NGX9	OR6P1
Q8NGN1	OR6T1
Q8NGX8	OR6Y1
Q8NGA2	OR7A2P
O76100	OR7A10
O76099	OR7C1
Q8NG99	OR7G2
Q8NGG7	OR8A1
Q8NGG8	OR8B3
Q8NGG6	OR8B12
Q8NGM9	OR8D4
Q8NG78	OR8G5
Q8NGG4	OR8H1
Q8N162	OR8H2
Q8N146	OR8H3
Q8N0Y5	OR8I2
Q8NGG0	OR8J3
Q8NGG5	OR8K1
Q8NH50	OR8K5
P0C7N1	OR8U8
Q8NGU1	OR9A1P
Q8NGT5	OR9A2
Q8NH87	OR9G1
Q53FV1	ORMDL2
Q8N138	ORMDL3
Q9BXI2	SLC25A2
Q9Y3B8	REXO2
I0J062	PANO1
Q96RD7	PANX1
Q8NDF8	TENT4B
Q96NY9	MUS81
O43439	CBFA2T2
Q9Y6C9	MTCH2
Q06455	RUNX1T1
P13995	MTHFD2
Q9Y4I5	TESMIN
Q86WG5	SBF2
Q9NYA4	MTMR4
O75081	CBFA2T3
Q9Y217	MTMR6
Q9Y216	MTMR7
Q5SWX8	ODR4
Q9UBK8	MTRR
O75648	TRMU
Q9H488	POFUT1
Q5JR59	MTUS2
Q9Y2G5	POFUT2
Q13505	MTX1
O60502	OGA
Q8N307	MUC20
Q04900	CD164
Q02505	MUC3A
Q9H195	MUC3B
Q9HC84	MUC5B
Q6W4X9	MUC6
Q969V5	MUL1
Q7RTU3	OLIG3
Q68BL7	OLFML2A
P78380	OLR1
Q96E52	OMA1
O60313	OPA1
Q9UHM6	OPN4
Q99583	MNT
Q8TD46	CD200R1
Q96BX8	MOB3A
O95158	NXPH4
Q9NRJ1	C8orf17
Q6ZVC0	NYAP1
Q6UVY6	MOXD1
Q9Y5U8	MPC1
Q6ZSM3	SLC16A12
P36507	MAP2K2
Q8NGE5	OR10A7
Q8NGN7	OR10D4P
Q8NGA6	OR10H5
Q8NGY7	OR10J6P
Q8NGX5	OR10K1
Q9NZW5	MPP6
Q8NGY1	OR10Z1
Q8NH07	OR11H2
Q99550	MPHOSPH9
Q9NV56	MRGBP
Q9HC36	MRM3
Q7Z6M4	MTERF4
Q6UWY5	OLFML1
Q9NRN5	OLFML3
Q6UX06	OLFM4
Q8TAK6	OLIG1
Q13516	OLIG2
Q68BL8	OLFML2B
Q99983	OMD
P23515	OMG
P47874	OMP
P0CE72	OCM
A6NGQ2	OOEP
A8MZH6	OOSP1
A0A2R8YFM6	OOSP3
Q6U736	OPN5
P41143	OPRD1
P41145	OPRK1
P03999	OPN1SW
Q9NZJ7	MTCH1
Q9Y4B5	MTCL1
Q96E29	MTERF3
P10515	DLAT
Q9P0S3	ORMDL1
Q9BZ23	PANK2
Q96RD6	PANX2
Q9NVV4	MTPAP
Q13219	PAPPA
Q96RG2	PASK
Q8WXA2	PATE1
P0C8F1	PATE4
P50539	MXI1
P12525	MYCLP1
Q99836	MYD88
P35749	MYH11
Q9H6N6	MYH16
P12882	MYH1
Q9H1R3	MYLK2
Q6PIF6	MYO7B
P52179	MYOM1
O15049	N4BP3
Q9NPC7	MYNN
Q9Y4I1	MYO5A
Q9NP98	MYOZ1
Q9NPC6	MYOZ2
Q99972	MYOC
Q92802	N4BP2L2
Q86VE0	MYPOP
Q9BZK3	NACA4P
Q92968	PEX13
Q15274	QPRT
Q7L9L4	MOB1B
O96033	MOCS2
Q96CM4	NXNL1
Q86TA1	MOB3B
P58417	NXPH1
O60669	SLC16A7
Q02750	MAP2K1
Q5VZ52	MORN5
Q9H208	OR10A2
Q8NH80	OR10D3
Q8NGN6	OR10G7
P30954	OR10J1
Q6IF99	OR10K2
Q8NGE3	OR10P1
B2RN74	OR11H12
Q99549	MPHOSPH8
O14733	MAP2K7
Q8NGV5	OR13D1
A6NCE7	MAP1LC3B2
P20645	M6PR
P39210	MPV17
Q6UWV2	MPZL3
Q8TCY5	MRAP
P00973	OAS1
Q9UBG0	MRC2
Q96AM1	MRGPRF
Q96LB2	MRGPRX1
Q96LB1	MRGPRX2
P49006	MARCKSL1
Q6ZTZ1	MSANTD1
O15457	MSH4
P52701	MSH6
Q8NCU8	MTLN
Q96S19	METTL26
Q9BWT3	PAPOLG
P22033	MMUT
P53602	MVD
Q92614	MYO18A
A6NI61	MYMK
P54296	MYOM2
Q9Y5N5	N6AMT1
Q08AG7	MZT1
P41227	NAA10
P15172	MYOD1
Q9H7X0	NAA60
Q02083	NAAA
O14974	PPP1R12A
P40855	PEX19
Q86W26	NLRP10
P43490	NAMPT
Q9HD47	RANGRF
Q969Y0	NXPE3
Q86VF5	MOGAT3
O95907	SLC16A8
Q13421	MSLN
Q68DK7	MSL1
P08118	MSMB
O15243	LEPROT
Q2TV78	MST1L
P35548	MSX2
A1L3X4	MT1DP
A6NDL7	METTL21EP
P02795	MT2A
Q16625	OCLN
P0CE71	OCM2
P56278	MTCP1
P08559	PDHA1
Q9BV57	ADI1
Q9Y2Z2	MTO1
P58546	MTPN
P49286	MTNR1B
Q13585	GPR50
O43312	MTSS1
Q8N3F0	MTURN
Q5HYI7	MTX3
Q6N063	OGFOD2
Q6PK18	OGFOD3
O15527	OGG1
Q15743	GPR68
Q8N387	MUC15
O15294	OGT
Q9NTK5	OLA1
Q8N653	LZTR1
Q96S90	LYSMD1
Q9NR34	MAN1C1
Q9NXJ0	MS4A12
